FID,SHAPE,BEZEICHNUNG,WL_NUMMER
HALTESTELLEWLOGD.145,POINT (16.425659899948297 48.17098015051271),Bleriotgasse,147
HALTESTELLEWLOGD.146,POINT (16.340479899387674 48.21100015068131),Blindengasse,148
HALTESTELLEWLOGD.147,POINT (16.331799898823537 48.221450150396855),Blumengasse,149
HALTESTELLEWLOGD.148,POINT (16.316969898979384 48.13732015051014),Hetmanekgasse,150
HALTESTELLEWLOGD.149,POINT (16.368699899410842 48.209850150380866),Bognergasse,151
HALTESTELLEWLOGD.150,POINT (16.229789898895785 48.1379101506747),Bohattaweg,152
HALTESTELLEWLOGD.151,POINT (16.330119899427135 48.23712015082222),Borkowskigasse,153
HALTESTELLEWLOGD.152,POINT (16.280549898750994 48.18732015040529),Bossigasse,154
HALTESTELLEWLOGD.153,POINT (16.453139898803443 48.262630150242586),Maculangasse/Wagramer Straße,155
HALTESTELLEWLOGD.154,POINT (16.2946198986151 48.20275014996684),Braillegasse,156
HALTESTELLEWLOGD.155,POINT (16.370529898683152 48.21027015014289),Brandstätte,157
HALTESTELLEWLOGD.156,POINT (16.296049898122813 48.2269201501839),Braungasse,158
HALTESTELLEWLOGD.157,POINT (16.32804989866918 48.186910150111856),Grimmgasse,159
HALTESTELLEWLOGD.158,POINT (16.41883989923921 48.17185015053753),Braunhubergasse,160
HALTESTELLEWLOGD.159,POINT (16.29504989881135 48.18957015015351),Braunschweiggasse,161
HALTESTELLEWLOGD.160,POINT (16.40543989962367 48.25164015095508),Scheffelstraße,162
HALTESTELLEWLOGD.161,POINT (16.329359898709544 48.144130150270406),Breiteneckergasse,163
HALTESTELLEWLOGD.162,POINT (16.4929698988834 48.25113015108215),Breitenlee Friedhof,164
HALTESTELLEWLOGD.163,POINT (16.497589899921888 48.251200150919715),Breitenlee Ort,165
HALTESTELLEWLOGD.164,POINT (16.306599898938074 48.198910150537806),Breitensee,166
HALTESTELLEWLOGD.165,POINT (16.450379899096646 48.15404015026756),Roschegasse,167
HALTESTELLEWLOGD.166,POINT (16.348129899350493 48.25424015050404),Bretschneidergasse,168
HALTESTELLEWLOGD.167,POINT (16.374729899541514 48.23328015062049),Brigittagasse,169
HALTESTELLEWLOGD.168,POINT (16.37033989849936 48.232640150474616),Brigittaplatz,170
HALTESTELLEWLOGD.169,POINT (16.476979899649166 48.20761015078304),Brockhausengasse,171
HALTESTELLEWLOGD.170,POINT (16.33543989937507 48.20905015062739),Thaliastraße/Brunnengasse,172
HALTESTELLEWLOGD.171,POINT (16.33594989903607 48.211090150537466),Neulerchenfelder Str/Brunneng,173
HALTESTELLEWLOGD.172,POINT (16.296809898980293 48.146190149961804),Brunner Straße/Erlaaer Straße,174
HALTESTELLEWLOGD.173,POINT (16.347609898911482 48.19130015011146),Brückengasse,175
HALTESTELLEWLOGD.174,POINT (16.403519899033586 48.267820150737336),Brünner Straße,176
HALTESTELLEWLOGD.175,POINT (16.397309899641037 48.146610150367074),Bergtaidingweg,177
HALTESTELLEWLOGD.176,POINT (16.345729898613538 48.2153901502302),Brünnlbadgasse,178
HALTESTELLEWLOGD.177,POINT (16.320369899447154 48.20606015007626),Brüßlgasse,179
HALTESTELLEWLOGD.178,POINT (16.451459899065373 48.27044015053815),Bubergasse,180
HALTESTELLEWLOGD.179,POINT (16.270319899099224 48.16369015042361),Buchbindergasse,181
HALTESTELLEWLOGD.180,POINT (16.454229900043895 48.190890150313535),Lindmayer/Friedenspagode,182
HALTESTELLEWLOGD.181,POINT (16.336879899695475 48.159970150603506),Computerstr/Gutheil-Schoder-G,183
HALTESTELLEWLOGD.182,POINT (16.25537989887937 48.202890150056156),"Hütteldorf, Bujattigasse",184
HALTESTELLEWLOGD.183,POINT (16.42056989963448 48.240210150651826),Bundessportbad,185
HALTESTELLEWLOGD.184,POINT (16.391039898630613 48.26307015053796),Bunsengasse,186
HALTESTELLEWLOGD.185,POINT (16.29823989825084 48.202570150543586),Burgersteingasse,187
HALTESTELLEWLOGD.186,POINT (16.33731989846141 48.202300150132544),Burggasse-Stadthalle,188
HALTESTELLEWLOGD.187,POINT (16.24951989818554 48.214520150712715),Campingplatz Wien-West 2,189
HALTESTELLEWLOGD.188,POINT (16.36371989894242 48.2039301503723),Burgring,190
HALTESTELLEWLOGD.189,POINT (16.361229898556605 48.26995015080098),Burgstall,191
HALTESTELLEWLOGD.190,POINT (16.36062989867863 48.21040015038757),Rathausplatz/Burgtheater,192
HALTESTELLEWLOGD.191,POINT (16.36628989874247 48.19951015068031),Bärenmühldurchgang,193
HALTESTELLEWLOGD.192,POINT (16.331619898282835 48.24756015068126),Börnergasse,194
HALTESTELLEWLOGD.193,POINT (16.366009898853488 48.21557015066338),Börsegasse/Wipplingerstraße,195
HALTESTELLEWLOGD.194,POINT (16.370779899002976 48.201270150363776),Bösendorferstraße,196
HALTESTELLEWLOGD.195,POINT (16.327299899430354 48.205000150395165),Camillo-Sitte-Gasse,197
HALTESTELLEWLOGD.196,POINT (16.257839898225082 48.13805015026881),Breitenfurter Str/Willergasse,198
HALTESTELLEWLOGD.197,POINT (16.29942989962559 48.149840150217926),Campingplatz Wien-Süd,199
HALTESTELLEWLOGD.198,POINT (16.25342989924347 48.21135015013746),Campingplatz Wien-West 1,200
HALTESTELLEWLOGD.199,POINT (16.48112989931494 48.275830150878235),Campingplatzweg,201
HALTESTELLEWLOGD.200,POINT (16.35480989874554 48.22805015073159),Canisiusgasse,202
HALTESTELLEWLOGD.201,POINT (16.410679898711926 48.28002015027297),Carabelligasse,203
HALTESTELLEWLOGD.202,POINT (16.297939898713565 48.14122015056519),Carlbergergasse,204
HALTESTELLEWLOGD.203,POINT (16.358339899665886 48.18864015042649),Castelligasse,205
HALTESTELLEWLOGD.204,POINT (16.29622989824125 48.25182015058287),Celtesgasse,206
HALTESTELLEWLOGD.205,POINT (16.3435798991253 48.23956015083461),Chimanistraße,208
HALTESTELLEWLOGD.206,POINT (16.322389897984383 48.263530150540014),Cobenzl Parkplatz,209
HALTESTELLEWLOGD.207,POINT (16.329999898507776 48.26394015017422),Cobenzlgasse,210
HALTESTELLEWLOGD.208,POINT (16.373739899499487 48.18192015037934),Columbusplatz,211
HALTESTELLEWLOGD.209,POINT (16.342019899340666 48.157620150792425),Triester Straße/Computerstraße,212
HALTESTELLEWLOGD.210,POINT (16.370069899222727 48.213700150318374),Concordiaplatz,213
HALTESTELLEWLOGD.211,POINT (16.280679898351337 48.14451015043696),Corvinusgasse,214
HALTESTELLEWLOGD.212,POINT (16.342139898753732 48.23385015072227),Cottagegasse,215
HALTESTELLEWLOGD.213,POINT (16.226539898714208 48.21513015022643),Cottagestraße,216
HALTESTELLEWLOGD.214,POINT (16.32741989933674 48.22785015053786),Czartoryskigasse,217
HALTESTELLEWLOGD.215,POINT (16.44486989934629 48.2869401507935),Dahliengasse,218
HALTESTELLEWLOGD.216,POINT (16.37525989890956 48.23473015045593),Dammstraße,219
